1	DE	2134	1	2223	8	1901	24	1639	0	-66	2	31	2	48	2	82	4	172	10	251	898	391	367	140	522	194	182	2017	1067	2	48
2	AR	2050	1	2159	5	1982	26	1751	1	-38	2	1	2	29	2	36	5	154	-1	23	961	341	378	242	512	212	237	1805	1032	2	29
3	BR	2042	1	2194	4	1991	20	1813	2	45	-1	-62	-2	-90	-1	-18	-2	-62	2	70	923	324	299	300	582	153	188	2010	859	-2	-90
4	NL	2030	1	2154	15	1834	49	1550	-2	-67	-3	-87	1	26	1	33	-1	-1	3	90	770	364	309	97	389	212	169	1599	1008	1	26
5	CO	2020	4	2035	53	1569	100	1304	-1	12	0	-15	1	86	6	118	24	260	18	221	515	154	185	176	198	180	137	641	632	1	86
6	FR	1966	1	2137	17	1765	40	1507	2	4	2	-10	6	85	6	77	3	76	-4	-22	786	397	296	93	373	246	167	1376	1137	6	85
7	CL	1963	5	1998	28	1663	60	1384	0	-16	0	-18	3	49	14	160	4	82	40	309	713	278	263	172	269	292	152	1016	1041	3	49
8	ES	1954	1	2165	7	1934	19	1800	-2	-34	-2	-39	-6	-150	-7	-196	-6	-141	-2	-12	644	284	251	109	373	125	146	1266	594	-6	-150
9	EN	1924	1	2216	4	1983	17	1792	1	25	6	64	-3	-10	-3	-29	-5	-61	-5	-54	999	432	468	99	583	186	230	2377	995	-3	-10
10	PT	1911	2	2022	20	1774	42	1619	4	30	-1	-8	-2	-20	0	7	2	37	-1	9	551	259	212	80	256	166	129	902	669	-2	-20
11	UY	1909	1	2106	12	1874	44	1635	-1	10	1	29	-2	-10	4	54	4	96	9	89	882	297	378	207	384	282	216	1407	1117	-2	-10
12	BE	1899	4	1959	25	1731	70	1498	-3	-17	-2	-5	6	63	10	113	49	312	21	173	733	356	321	56	297	277	159	1247	1224	6	63
13	MX	1893	5	1959	20	1771	48	1495	0	4	-2	10	9	95	-6	-24	-5	1	-3	6	820	259	223	338	417	214	189	1496	855	9	95
14	IT	1886	1	2131	8	1911	21	1605	-2	-4	2	36	-3	-21	-6	-25	-8	-71	-6	-21	766	343	277	146	403	153	210	1323	771	-3	-21
15	CR	1868	9	1868	34	1692	73	1495	1	22	4	42	14	133	30	200	25	164	22	177	630	217	223	190	297	186	147	1167	724	14	133
16	EC	1847	12	1882	69	1479	117	1184	1	8	2	10	1	10	0	-3	22	126	28	180	471	149	167	155	133	216	122	552	772	1	10
17	HR	1826	5	2005	12	1877	26	1782	4	28	5	31	4	20	-3	-54	-7	-62	0	-12	262	108	114	40	138	53	71	456	261	4	20
18	UA	1824	15	1846	37	1709	70	1536	1	18	-1	-15	2	2	15	111	4	41	13	85	215	99	94	22	94	59	62	296	213	2	2
19	US	1814	9	1891	41	1632	89	1417	-4	-34	-6	-51	-6	-49	7	43	-2	10	-1	-17	632	349	209	74	264	233	135	881	868	-6	-49
20	CZ	1805	1	2038	11	1866	35	1686	5	40	9	64	6	44	4	30	13	57	-18	-183	750	304	361	85	364	217	169	1399	926	6	44
21	CH	1793	10	1918	28	1670	56	1485	-3	-17	-7	-69	-7	-59	-3	-38	-3	1	16	102	753	363	336	54	253	336	164	1078	1316	-7	-59
